Time,w
0,0
1.571761025,0.011868593
1.672669889,0.014315034
1.739965269,0.016760107
1.916572884,0.021651964
2.168924859,0.03061746
2.488640626,0.044470365
2.749452983,0.055471484
3.069202957,0.070545558
3.414185848,0.08643477
3.919015221,0.108843379
4.162952422,0.117401477
4.507878303,0.131255409
4.760230277,0.140220905
5.088326612,0.15326004
5.424826317,0.166299518
5.836967763,0.17974913
6.341648908,0.19686601
7.090141831,0.218063371
7.409686567,0.225810435
8.267343497,0.24416285
8.351354402,0.243352158
8.333897739,0.220149277
